lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
29.22106,44.33866,0.36406410961196795,1830.5762939453125,2131.5703125,2021.6484375,410,2378.5703125,31,24.8125,806.71875
29.88323,43.62388,0.36704122651373194,1844.2962646484373,2127.0546875,2043.4921875,388,2387.3203125,32,24.1875,796.6796875
28.85,45.48333,0.3581279527690199,1804.9234619140625,2111.0234375,1930.3828125,333,2348.078125,31,25.0,833.65625
28.83333,45.58333,0.3580040326458335,1803.1031494140625,2110.234375,1925.84375,323,2346.78125,31,25.125,835.15625
28.98333,45.65,0.3565835860736391,1796.0706787109375,2103.109375,1919.296875,303,2338.09375,31,25.125,835.09375
29.61373,44.08074,0.3628272911592643,1834.531494140625,2126.59375,2027.703125,398,2377.4296875,31,24.5,802.875
29.0,42.66667,0.37789863910411386,1894.6199951171875,2193.59375,2221.46875,617,2457.5546875,31,23.8125,748.6015625
24.38333,51.06667,0.3515048461253923,1801.6549072265625,2177.0,1869.375,8,2365.046875,27,28.25,896.8515625
16.96043,42.5782,0.2984390112674561,1703.7587890625,2100.5625,1530.5078125,7,2194.921875,19,29.875,993.671875
18.15,41.9,0.2974058570106988,1659.7105712890625,2087.5078125,1562.03125,206,2179.328125,19,30.125,957.328125
19.96667,43.18333,0.3910813448615621,1950.7701416015625,2390.234375,2267.6953125,1151,2560.671875,24,26.625,825.421875
27.63333,49.13333,0.3105940357025093,1744.9674072265625,2060.046875,1801.078125,-9,2227.53125,24,26.125,849.421875
28.0,36.5,0.40006402311510414,2030.050048828125,2368.2109375,2819.1484375,1104,2633.015625,28,21.25,553.8984375
22.33333,46.08333,0.38541787068246003,1917.94873046875,2328.1171875,2187.234375,761,2522.3984375,26,27.0,837.625
18.93333,51.06667,0.3786503752099488,1894.774658203125,2340.9453125,2128.9765625,270,2508.4453125,25,29.375,865.8671875
24.28486,47.14756,0.36584654156453095,1838.55615234375,2227.3203125,2015.0703125,456,2431.21875,27,27.625,850.734375
30.83677,37.88323,0.37313854159859616,1929.021484375,2188.6328125,2437.640625,539,2470.0078125,31,21.75,638.5703125
24.16826,38.14406,0.37197210713839113,1913.2611083984373,2305.5,2309.171875,25,2502.5625,26,28.5625,750.9921875
16.42319,42.43462,0.29043800736507785,1736.859375,2122.9765625,1565.34375,0,2208.125,17,29.0,982.3125
19.46667,43.8,0.39222288456450555,1964.15478515625,2413.3125,2324.4609375,1316,2576.984375,23,25.75,814.1328125
24.23333,41.73333,0.37708053793222246,1898.5726318359373,2295.484375,2238.0546875,949,2489.765625,25,26.875,788.3984375
28.60066,34.81977,0.3829512426091062,2010.994384765625,2326.265625,2756.890625,713,2583.046875,28,21.5,536.2265625
26.48333,40.55,0.3894342122314911,1940.2117919921875,2292.109375,2434.3984375,1037,2526.9296875,28,24.5625,696.765625
28.06424,40.51107,0.397184762778938,1984.3975830078125,2292.2890625,2456.734375,921,2579.390625,31,21.875,689.796875
26.22747,36.46327,0.3542309662374719,1916.59619140625,2275.484375,2396.4375,0,2472.515625,24,26.375,693.6640625
26.25,36.55,0.3647605519133813,1938.65234375,2311.2421875,2502.703125,107,2519.015625,25,26.5,647.03125
23.2,40.61667,0.37212707182505855,1887.732177734375,2300.765625,2233.2421875,934,2477.953125,24,27.0,786.34375
26.11998,44.10433,0.3690661948575681,1845.72705078125,2209.046875,2062.109375,609,2413.5234375,28,26.3125,827.25
18.04249,40.80232,0.3054789194333726,1781.655517578125,2176.203125,1702.921875,-37,2268.6484375,18,29.0625,950.4609375
16.4,46.25,0.3842409167314047,1944.6939697265625,2410.875,2240.453125,996,2550.3671875,22,27.0,852.9921875
23.95754,47.16322,0.36404446931988077,1847.1337890625,2234.6875,2028.890625,451,2424.5625,26,27.75,855.171875
23.27211,49.34145,0.3595772424114907,1816.6240234375,2206.1171875,1877.375,114,2389.90625,27,28.5625,914.515625
